,Song,Artist,Brand,Streams
260,Make It Back,Juice WRLD,Christian dior,2979066.0
261,Molly,Lil Pump,Givenchy,2975441.0
262,How Bout Now,Drake,Christian dior,2886420.0
263,RIP Luv,21 Savage & Metro Boomin,Birkin,2850453.0
264,Real Baby Pluto,Future & Lil Uzi Vert,Louis Vuitton,2814589.0
265,Mahogany,Lil Wayne,Louis Vuitton,2786245.0
266,Mahogany,Lil Wayne,Christian dior,2786245.0
267,!,Trippie Redd,Hennessey,2713826.0
268,NO HALO,BROCKHAMPTON,Dom Perignon,2703777.0
269,Feelings Mutual,Lil Uzi Vert,Louis Vuitton,2697237.0
270,Said N Done,21 Savage & Metro Boomin,Christian dior,2676975.0
271,Said N Done,21 Savage & Metro Boomin,Christian dior,2676975.0
272,Donald Trump,Mac Miller,Hennessey,2652091.0
273,1942 Flows,Meek Mill,Hermes,2634957.0
274,Dreams Money Can Buy,Drake,Fendi,2631321.0
275,SAD SH*T,Genius,Louis Vuitton,2563037.0
276,SAD SH*T,Genius,Marc jacob,2563037.0
277,Get Ugly,Lil Baby,Marc jacob,2550724.0
278,Biking,Frank Ocean,Tiffany,2541803.0
279,Pretty Mami,Lil Uzi Vert,Christian dior,2469460.0
280,Championships,Meek Mill,Christian dior,2443209.0
281,Championships,Meek Mill,Christian dior,2443209.0
282,Burberry faygo,Genius Deutschland,Christian dior,2441829.0
283,TALK ABOUT IT,DaBaby,Fendi,2441130.0
284,Unbothered,Ski Mask the Slump God,Hennessey,2440539.0
285,Unbothered,Ski Mask the Slump God,Fendi,2440539.0
286,Slide Around,Chance the Rapper,Fendi,2413581.0
287,Thug Love,A Boogie wit da Hoodie,Louis Vuitton,2321976.0
288,Thug Love,A Boogie wit da Hoodie,Louis Vuitton,2321976.0
289,No Cap,Future & Young Thug,Fendi,2317244.0
290,How U Feel,HUNCHO JACK,Hennessey,2278194.0
291,Kills You Slowly,The Chainsmokers,Louis Vuitton,2275715.0
292,BOY BYE,BROCKHAMPTON,Dom Perignon,2266549.0
293,Hard Piano,Pusha T,Tiffany,2238805.0
294,Ridin Strikers,Future,Fendi,2220181.0
295,OG Beeper,A$AP Rocky,Christian dior,2213538.0
296,A.L.L.T.Y. 3,Trippie Redd,Hennessey,2205903.0
297,Never Stop,Future,Hublot,2196031.0
298,Woodlawn,Aminé,Marc jacob,2175285.0
299,F&N,Future,Marc jacob,2145173.0
300,Carbonated Water,Ski Mask the Slump God,Fendi,2136246.0
301,Good Dope,Future,Tiffany,2081626.0
302,Rocket Ship,Future,Louis Vuitton,2080200.0
303,Rocket Ship,Future,Marc jacob,2080200.0
304,Years Go By,Bryson Tiller,Givenchy,2065547.0
305,Jet Lag,A$AP Ferg,Tiffany,2055165.0
306,Space Legend,James Joyce,Louis Vuitton,2036480.0
307,Space Legend,James Joyce,Christian dior,2036480.0
308,Space Legend,James Joyce,Hennessey,2036480.0
309,Space Legend,James Joyce,Marc jacob,2036480.0
310,Space Legend,James Joyce,Hermes,2036480.0
311,Big Fish,Chance the Rapper,Hublot,2027613.0
312,Faygo,Neal Stephenson,Christian dior,2018669.0
313,HiTek Tek,Future,Marc jacob,2004518.0
314,LLC,Nicki Minaj,Louis Vuitton,2000974.0
315,Malfunction,Lil Uzi Vert,Christian dior,1987605.0
316,Malfunction,Lil Uzi Vert,Christian dior,1987605.0
317,Only You Freestyle,Headie One & Drake,Louis Vuitton,1983369.0
318,Only You Freestyle,Headie One & Drake,Hennessey,1983369.0
319,Only You Freestyle,Headie One & Drake,Birkin,1983369.0
320,Cozy Little Christmas,Katy Perry,Tiffany,1955410.0
321,Light It Up,Young Thug,Tiffany,1942850.0
322,Stripper Bowl,Quality Control & Migos,Lv,1924925.0
323,NEW ORLEANS,BROCKHAMPTON,Dom Perignon,1911615.0
324,Lookin Exotic,Future,Louis Vuitton,1884340.0
325,NASTY GIRL / ON CAMERA,Gunna,Birkin,1865823.0
326,Control,Playboi Carti,Givenchy,1858936.0
327,Please Tell Me,Future,Hermes,1857590.0
328,First Place,Polo G & Lil Tjay,Birkin,1849723.0
329,Bossanova,Lil Tecca,Fendi,1843311.0
330,Too Comfortable,Future,Louis Vuitton,1827423.0
331,Too Comfortable,Future,Givenchy,1827423.0
332,Priice Tag,Desiigner,Givenchy,1817483.0
333,Made Men,Migos,Christian dior,1815636.0
334,Call the Coroner,Future,Hermes,1793137.0
335,Adults Swim,Ski Mask the Slump God,Hennessey,1792606.0
336,5 Hooks,Logic,Louis Vuitton,1767247.0
337,5 Hooks,Logic,Louis Vuitton,1767247.0
338,Work Hard,Migos,Fendi,1753508.0
339,No Issue,Future & Juice WRLD,Birkin,1738449.0
340,Saint Laurenttt,NAV,Birkin,1724686.0
341,PIKACHU,The Kid LAROI,Hennessey,1701008.0
342,Cocoa Butter Kisses,Chance the Rapper,Hennessey,1683506.0
343,Cruise Ship,Young Thug,Louis Vuitton,1681158.0
344,Stick to the Models,Future,Marc jacob,1667402.0
345,when the party's over - Recorded at Spotify Studios NYC,Spotify,Christian dior,1634726.0
346,when the party's over - Recorded at Spotify Studios NYC,Spotify,Marc jacob,1634726.0
347,Get A Bag,Chance the Rapper,Birkin,1623674.0
348,Yao Ming,Gunna,Louis Vuitton,1620916.0
349,IF YOU PRAY RIGHT,BROCKHAMPTON,Dom Perignon,1585335.0
350,ST. PERCY,BROCKHAMPTON,Dom Perignon,1581583.0
351,Bop,"Tyga, YG & Blueface",Fendi,1572429.0
352,FEIGNING,Gunna,Louis Vuitton,1564678.0
353,Freedom,Kygo & Zak Abel,Dom Perignon,1558610.0
354,Talk Shit Like a Preacher,Future,Marc jacob,1555945.0
355,Out Tha Mud,Roddy Ricch,Marc jacob,1552490.0
356,Bandaid On A Bullet Hole - Bonus,Spotify,Christian dior,1537766.0
357,Mo Paper,Rich The Kid,Christian dior,1533111.0
358,Coffee,Quinn XCII & Marc E. Bassy,Marc jacob,1529566.0
359,BIG,Young M.A,Hennessey,1516364.0
360,BIG,Young M.A,Hennessey,1516364.0
361,Rich As Hell,YoungBoy Never Broke Again,Fendi,1513364.0
362,Addison Rae,The Kid LAROI,Louis Vuitton,1506772.0
363,Que Se Joda,"Anuel AA, Farruko & Zion",Hennessey,1502891.0
364,Kung Fu,Cordae,Hennessey,1494564.0
365,Lockdown,Anderson .Paak,Louis Vuitton,1475271.0
366,Off Dat,Future & Lil Uzi Vert,Tiffany,1473228.0
367,November,"Tyler, The Creator",Christian dior,1463060.0
368,THUG LIFE,BROCKHAMPTON,Dom Perignon,1436361.0
369,September - Recorded at The Tracking Room Nashville,Spotify,Louis Vuitton,1430234.0
370,Blue Cheese,2 Chainz,Birkin,1383082.0
371,X Men,Lil Yachty,Hennessey,1321079.0
372,All Me,Drake,Givenchy,1262995.0
373,Special,21 Savage,Birkin,1181094.0
374,LUV,Tory Lanez,Hennessey,1055938.0
